epoch,loss_train,accuracy_train,lr,elapsed,loss_valid,accuracy_valid
0,0.7414653951471503,0.5579545454545455,0.0002,00:19,0.5601933924357096,64.0
1,0.5092706073414196,0.7522727272727273,0.0002,00:17,0.5008863957722982,80.0
2,0.4664267106489702,0.8102272727272727,0.0002,00:17,0.47704298655192057,81.33333333333333
3,0.4393259958787398,0.8284090909090909,0.0002,00:17,0.45658231099446617,83.33333333333334
4,0.4136205153031783,0.8409090909090909,0.0002,00:17,0.4383529790242513,83.0
5,0.3912161350250244,0.8545454545454545,0.0002,00:17,0.4229303232828776,84.0
6,0.37077110463922675,0.8704545454545455,0.0002,00:17,0.40980159759521484,85.0
7,0.3520737452940507,0.8795454545454545,0.0002,00:17,0.39825768788655597,85.0
8,0.3362019777297974,0.8863636363636364,0.0002,00:17,0.38860533396402996,85.33333333333334
9,0.32099231589924204,0.8875,0.0002,00:17,0.3799227015177409,86.0
10,0.3075492252003063,0.8943181818181818,0.0002,00:17,0.3732326952616374,86.33333333333333
11,0.29568382826718415,0.8920454545454546,0.0002,00:17,0.3667837651570638,86.0
12,0.2843233368613503,0.9022727272727272,0.0002,00:17,0.3614899698893229,86.0
13,0.27421768578616057,0.9034090909090909,0.0002,00:17,0.3581678009033203,86.0
14,0.2649042671377009,0.9034090909090909,0.0002,00:17,0.35396094640096026,85.66666666666667
15,0.2573050238869407,0.9056818181818181,4e-05,00:17,0.3540394274393717,85.33333333333334
16,0.25533965500918304,0.9102272727272728,4e-05,00:17,0.35317586263020834,85.33333333333334
17,0.25382513783194804,0.9102272727272728,4e-05,00:17,0.35235915501912435,85.66666666666667
18,0.25201024358922786,0.9102272727272728,4e-05,00:17,0.3514780807495117,85.66666666666667
19,0.25031152421777897,0.9125,4e-05,00:17,0.3507277679443359,85.66666666666667
20,0.24882617430253462,0.9125,4e-05,00:17,0.3503352483113607,85.66666666666667
21,0.24727415605024858,0.9125,4e-05,00:17,0.34990288416544596,85.66666666666667
22,0.2457094300876964,0.9113636363636364,4e-05,00:17,0.34918856938680015,85.66666666666667
23,0.2441247051412409,0.9136363636363637,4e-05,00:17,0.34869683583577477,85.66666666666667
24,0.24264041077006948,0.9136363636363637,4e-05,00:17,0.3481867090861003,85.66666666666667
25,0.2412630319595337,0.9136363636363637,4e-05,00:17,0.3476963806152344,85.66666666666667
26,0.23975256139581855,0.9147727272727273,4e-05,00:17,0.3470413589477539,85.66666666666667
27,0.23830371986735951,0.9147727272727273,4e-05,00:17,0.34665701548258465,85.66666666666667
28,0.23691809394142843,0.9147727272727273,4e-05,00:17,0.34618446350097654,85.66666666666667
29,0.23558203848925505,0.9147727272727273,4e-05,00:17,0.3457543182373047,85.66666666666667
30,0.23436561931263317,0.9159090909090909,8.000000000000001e-06,00:17,0.3457560221354167,85.66666666666667
31,0.23405207720669832,0.9159090909090909,8.000000000000001e-06,00:17,0.3456997044881185,85.66666666666667
32,0.23377734531055797,0.9159090909090909,8.000000000000001e-06,00:17,0.34562243143717447,85.66666666666667
33,0.2335173238407482,0.9159090909090909,8.000000000000001e-06,00:17,0.34555507024129234,85.66666666666667
34,0.23324843753467905,0.9159090909090909,8.000000000000001e-06,00:17,0.3454931894938151,85.66666666666667
35,0.23298218250274658,0.9159090909090909,8.000000000000001e-06,00:17,0.3454321543375651,85.66666666666667
36,0.23270967223427513,0.9159090909090909,8.000000000000001e-06,00:17,0.34539266586303713,85.66666666666667
37,0.2324438355185769,0.9159090909090909,8.000000000000001e-06,00:17,0.3453617477416992,85.66666666666667
38,0.23218171596527098,0.9159090909090909,8.000000000000001e-06,00:17,0.34529623031616213,85.66666666666667
39,0.23191261724992232,0.9159090909090909,8.000000000000001e-06,00:17,0.34525299072265625,85.66666666666667
40,0.2317038601095026,0.9159090909090909,1.6000000000000004e-06,00:17,0.34515689849853515,85.66666666666667
41,0.23162434101104737,0.9159090909090909,1.6000000000000004e-06,00:17,0.34514424006144206,85.66666666666667
42,0.23157242211428555,0.9159090909090909,1.6000000000000004e-06,00:17,0.3451309076944987,85.66666666666667
43,0.23152040351520886,0.9159090909090909,1.6000000000000004e-06,00:17,0.3451220067342122,85.66666666666667
44,0.23146902214397083,0.9159090909090909,1.6000000000000004e-06,00:17,0.3451087697347005,85.66666666666667
45,0.23141685290770098,0.9159090909090909,1.6000000000000004e-06,00:17,0.3450960413614909,85.66666666666667
46,0.23136496977372603,0.9159090909090909,1.6000000000000004e-06,00:17,0.3450841967264811,85.66666666666667
47,0.23131657080216841,0.9159090909090909,1.6000000000000004e-06,00:17,0.34506863911946617,85.66666666666667
48,0.2312624671242454,0.9159090909090909,1.6000000000000004e-06,00:17,0.3450652567545573,85.66666666666667
49,0.231212795864452,0.9159090909090909,1.6000000000000004e-06,00:17,0.34505523681640626,85.66666666666667
