epoch,loss_train,accuracy_train,lr,elapsed,loss_valid,accuracy_valid
0,0.662297400561246,0.6636363636363637,0.001,00:03,0.6749695841471354,59.66666666666667
1,0.41559393189170146,0.8465909090909091,0.001,00:00,0.634428342183431,57.666666666666664
2,0.35923051183873955,0.8625,0.001,00:00,0.5826712544759115,60.0
3,0.3270937832919034,0.8920454545454546,0.001,00:00,0.5467666753133138,67.33333333333333
4,0.31384469162334094,0.8977272727272727,0.001,00:00,0.5361605962117513,67.33333333333333
5,0.2831282117150047,0.9090909090909091,0.001,00:00,0.5197405242919921,70.0
6,0.27502563866701996,0.9193181818181818,0.001,00:00,0.5003777694702148,73.0
7,0.2461612029509111,0.9352272727272727,0.001,00:00,0.4732928212483724,77.66666666666666
8,0.2332618149844083,0.9329545454545455,0.001,00:00,0.45911917368570965,76.0
9,0.2382230216806585,0.9204545454545454,0.001,00:00,0.4453713099161784,78.0
10,0.2182770317251032,0.9409090909090909,0.001,00:00,0.439452387491862,78.33333333333333
11,0.19930360533974387,0.9556818181818182,0.001,00:00,0.4362868626912435,78.33333333333333
12,0.18623836690729315,0.9534090909090909,0.001,00:00,0.43707471211751303,77.33333333333333
13,0.1856330622326244,0.9522727272727273,0.001,00:00,0.43769078572591147,77.33333333333333
14,0.17676513628526166,0.9534090909090909,0.001,00:00,0.4299861017862956,78.33333333333333
15,0.17271063978021794,0.95,0.0002,00:00,0.4167080942789714,81.33333333333333
16,0.1716414830901406,0.9579545454545455,0.0002,00:00,0.4120672607421875,83.0
17,0.1678702170198614,0.9602272727272727,0.0002,00:00,0.4119796371459961,82.66666666666667
18,0.17224694923921066,0.9511363636363637,0.0002,00:00,0.4136685689290365,82.66666666666667
19,0.16804712252183393,0.9545454545454546,0.0002,00:00,0.4142000452677409,82.66666666666667
20,0.16561850092627786,0.9613636363636363,0.0002,00:00,0.4124726359049479,82.33333333333334
21,0.15832034024325284,0.9579545454545455,0.0002,00:00,0.41365225474039713,82.33333333333334
22,0.16790492968125778,0.9534090909090909,0.0002,00:00,0.41247533162434896,82.66666666666667
23,0.16143895496021618,0.9636363636363636,0.0002,00:00,0.4110645039876302,82.66666666666667
24,0.16126297603953968,0.9590909090909091,0.0002,00:00,0.4129241434733073,82.33333333333334
25,0.16072614951567216,0.9568181818181818,0.0002,00:00,0.4105434036254883,82.66666666666667
26,0.16316237991506402,0.9625,0.0002,00:00,0.40986968994140627,83.0
27,0.15592262094671075,0.9625,0.0002,00:00,0.4051088078816732,83.33333333333334
28,0.16117597276514226,0.9568181818181818,0.0002,00:00,0.4098154958089193,82.0
29,0.15343108719045465,0.9579545454545455,0.0002,00:00,0.4111753209431966,82.33333333333334
30,0.151816865530881,0.9625,4.000000000000001e-05,00:00,0.4154774602254232,81.66666666666667
31,0.1522007389502092,0.9636363636363636,4.000000000000001e-05,00:00,0.4177529780069987,80.66666666666666
32,0.14857383316213435,0.9625,4.000000000000001e-05,00:00,0.41745286305745444,81.0
33,0.14867468638853593,0.9670454545454545,4.000000000000001e-05,00:00,0.4169701131184896,80.33333333333333
34,0.1504164457321167,0.9636363636363636,4.000000000000001e-05,00:00,0.4160222371419271,80.66666666666666
35,0.1537069938399575,0.9693181818181819,4.000000000000001e-05,00:00,0.417215461730957,81.33333333333333
36,0.14611785195090554,0.9670454545454545,4.000000000000001e-05,00:00,0.41524487813313804,80.0
37,0.15553441156040537,0.9670454545454545,4.000000000000001e-05,00:00,0.4174125035603841,81.0
38,0.15104818452488292,0.9625,4.000000000000001e-05,00:00,0.41684401194254556,80.0
39,0.1423005678436973,0.9715909090909091,4.000000000000001e-05,00:00,0.416888058980306,80.33333333333333
40,0.15642127990722657,0.9636363636363636,8.000000000000001e-06,00:00,0.417862548828125,81.0
41,0.15083032087846235,0.9647727272727272,8.000000000000001e-06,00:00,0.418225695292155,81.0
42,0.15161571611057628,0.9670454545454545,8.000000000000001e-06,00:00,0.42001655578613284,80.33333333333333
43,0.15032653591849587,0.9670454545454545,8.000000000000001e-06,00:00,0.4180578358968099,81.0
44,0.15338362130251798,0.9602272727272727,8.000000000000001e-06,00:00,0.4163423156738281,81.0
45,0.146935819495808,0.9590909090909091,8.000000000000001e-06,00:00,0.4168438466389974,80.66666666666666
46,0.1491362669251182,0.9670454545454545,8.000000000000001e-06,00:00,0.4204378128051758,80.33333333333333
47,0.14530190879648383,0.9704545454545455,8.000000000000001e-06,00:00,0.4191163889567057,80.66666666666666
48,0.15210880799727006,0.9670454545454545,8.000000000000001e-06,00:00,0.41758078257242837,81.33333333333333
49,0.1517630100250244,0.9636363636363636,8.000000000000001e-06,00:00,0.4163339106241862,81.0
