epoch,loss_train,accuracy_train,lr,elapsed,loss_valid,accuracy_valid
0,0.3639359864321622,0.553409090909091,0.0009,00:23,0.36075079600016274,57.333333333333336
1,0.3235149318521673,0.6863636363636364,0.0009,00:03,0.37558573404947915,51.33333333333333
2,0.3012082641774958,0.7170454545454545,0.0009,00:03,0.39062623341878255,49.666666666666664
3,0.27758511196483265,0.7647727272727273,0.0009,00:03,0.38134644826253256,49.666666666666664
4,0.24882175922393798,0.8238636363636364,0.0009,00:03,0.3854816182454427,49.666666666666664
5,0.22950076406652278,0.8568181818181818,0.0009,00:03,0.3830141830444336,59.0
6,0.21397372159090908,0.8818181818181818,0.0009,00:03,0.36993555704752606,56.333333333333336
7,0.20220800313082607,0.9022727272727272,0.0009,00:03,0.36242135365804035,60.333333333333336
8,0.18026332421736282,0.9329545454545455,0.0009,00:03,0.3268057950337728,65.33333333333333
9,0.16387457197362726,0.9431818181818182,0.0009,00:03,0.29699395497639974,71.33333333333334
10,0.15666160583496094,0.9409090909090909,0.0009,00:03,0.2742984708150228,78.0
11,0.14505650888789784,0.9511363636363637,0.0009,00:03,0.27709459940592446,76.66666666666667
12,0.13432272347536953,0.9681818181818181,0.0009,00:03,0.2689995384216309,77.0
13,0.13233859755776145,0.9579545454545455,0.0009,00:02,0.26844077428181967,77.33333333333333
14,0.12179921757091175,0.9659090909090909,0.0009,00:02,0.26656763712565107,79.66666666666666
15,0.10984074527567084,0.9738636363636364,0.00018,00:02,0.26652294158935547,78.33333333333333
16,0.10520460388877174,0.9818181818181818,0.00018,00:02,0.26316703160603844,79.66666666666666
17,0.10362515991384333,0.9852272727272727,0.00018,00:02,0.26443626403808596,77.33333333333333
18,0.1030860028483651,0.9886363636363636,0.00018,00:02,0.2659475580851237,78.33333333333333
19,0.09976528449492021,0.9852272727272727,0.00018,00:02,0.2644341595967611,79.66666666666666
20,0.10057031891562722,0.9863636363636363,0.00018,00:02,0.26728164037068686,77.66666666666666
21,0.09926589619029652,0.9875,0.00018,00:02,0.26326740900675455,79.33333333333333
22,0.0951188949021426,0.9829545454545454,0.00018,00:02,0.2602041053771973,80.66666666666666
23,0.10168725143779409,0.9784090909090909,0.00018,00:03,0.2631158192952474,79.0
24,0.09843480912121859,0.9829545454545454,0.00018,00:02,0.2630390357971191,78.0
25,0.09115635752677917,0.9818181818181818,0.00018,00:03,0.26143526713053383,78.0
26,0.10072499188509855,0.9738636363636364,0.00018,00:03,0.2599748738606771,80.33333333333333
27,0.08735152320428329,0.9875,0.00018,00:03,0.258719908396403,80.0
28,0.08960975516926159,0.9818181818181818,0.00018,00:03,0.2584907468159994,80.33333333333333
29,0.08825888200239702,0.9886363636363636,0.00018,00:03,0.25757739384969075,79.0
30,0.08567379333756187,0.9886363636363636,3.600000000000001e-05,00:03,0.259821351369222,79.66666666666666
31,0.08601248210126704,0.9875,3.600000000000001e-05,00:03,0.2601272392272949,79.0
32,0.08893596313216469,0.9875,3.600000000000001e-05,00:03,0.2592359987894694,78.33333333333333
33,0.08576420599764044,0.9897727272727272,3.600000000000001e-05,00:03,0.2599027633666992,78.0
34,0.08466858701272444,0.990909090909091,3.600000000000001e-05,00:03,0.2589172426859538,78.66666666666666
35,0.08673994432796131,0.9863636363636363,3.600000000000001e-05,00:03,0.25857880274454753,79.33333333333333
36,0.08512971076098355,0.9875,3.600000000000001e-05,00:03,0.2587789217631022,80.0
37,0.08767613443461332,0.9943181818181818,3.600000000000001e-05,00:03,0.25773529688517255,78.66666666666666
38,0.08813998265699907,0.9897727272727272,3.600000000000001e-05,00:03,0.2582013193766276,79.33333333333333
39,0.08858876119960438,0.9897727272727272,3.600000000000001e-05,00:03,0.25777013778686525,81.0
40,0.08448833389715715,0.9852272727272727,7.200000000000001e-06,00:03,0.2586681111653646,78.0
41,0.08875178315422752,0.9818181818181818,7.200000000000001e-06,00:03,0.25830772399902346,79.33333333333333
42,0.08785211172970858,0.9829545454545454,7.200000000000001e-06,00:03,0.25855387369791666,79.33333333333333
43,0.08323748816143382,0.9920454545454546,7.200000000000001e-06,00:02,0.25746501286824547,79.0
44,0.0838027293031866,0.9863636363636363,7.200000000000001e-06,00:03,0.2570208295186361,79.0
45,0.08152557069605047,0.9931818181818182,7.200000000000001e-06,00:02,0.25699608484903974,79.0
46,0.08697761297225952,0.9897727272727272,7.200000000000001e-06,00:02,0.25782962163289386,78.33333333333333
47,0.08189078244295987,0.9920454545454546,7.200000000000001e-06,00:03,0.25703484217325845,79.0
48,0.08333912979472767,0.990909090909091,7.200000000000001e-06,00:03,0.2567505772908529,79.33333333333333
49,0.08637774099003184,0.990909090909091,7.200000000000001e-06,00:03,0.25745058059692383,79.66666666666666
