epoch,loss_train,accuracy_train,lr,elapsed,loss_valid,accuracy_valid
0,0.3751769325949929,0.5431818181818182,0.0001,00:22,0.36652146657307944,57.666666666666664
1,0.36546361229636454,0.5829545454545455,9.990133642141359e-05,00:02,0.38092182159423826,50.0
2,0.3577045657417991,0.5840909090909091,9.96057350657239e-05,00:02,0.3962169011433919,45.33333333333333
3,0.35062150955200194,0.6079545454545454,9.911436253643444e-05,00:02,0.3988204574584961,46.666666666666664
4,0.3456216010180387,0.625,9.842915805643155e-05,00:02,0.3924730173746745,47.0
5,0.34030762152238325,0.6363636363636364,9.755282581475769e-05,00:02,0.38759854634602864,51.0
6,0.3317237290469083,0.6465909090909091,9.648882429441257e-05,00:02,0.4002351888020833,46.666666666666664
7,0.33347224322232333,0.6465909090909091,9.524135262330098e-05,00:02,0.40814744313557944,42.66666666666667
8,0.32854413119229403,0.6636363636363637,9.381533400219317e-05,00:02,0.3855969492594401,52.666666666666664
9,0.32185375690460205,0.6852272727272727,9.221639627510075e-05,00:02,0.3668060811360677,56.00000000000001
10,0.3228472211144187,0.6795454545454546,9.045084971874735e-05,00:02,0.35835407257080076,59.0
11,0.31082664403048427,0.7147727272727272,8.852566213878945e-05,00:02,0.35667242685953776,58.666666666666664
12,0.31321343725377865,0.7079545454545455,8.644843137107056e-05,00:02,0.35575405120849607,59.0
13,0.3121668837287209,0.6943181818181818,8.422735529643442e-05,00:02,0.35489935557047525,56.333333333333336
14,0.30541618737307463,0.7193181818181819,8.187119948743447e-05,00:02,0.3550130081176758,60.333333333333336
15,0.30119962258772415,0.7329545454545454,7.938926261462366e-05,00:02,0.3564599609375,58.666666666666664
16,0.30318992137908934,0.725,7.679133974894982e-05,00:02,0.3552297846476237,58.333333333333336
17,0.3015269366177646,0.7272727272727273,7.408768370508575e-05,00:02,0.35072020212809246,61.33333333333333
18,0.29471654891967775,0.7556818181818182,7.128896457825361e-05,00:02,0.3526653162638346,59.0
19,0.2949634638699618,0.7454545454545455,6.840622763423389e-05,00:02,0.35480215708414714,60.0
20,0.29460130604830653,0.7488636363636364,6.545084971874736e-05,00:02,0.35289730072021486,59.0
21,0.2905838359485973,0.7477272727272727,6.243449435824272e-05,00:02,0.3501762135823568,62.0
22,0.2882497115568681,0.7681818181818182,5.9369065729286224e-05,00:02,0.3498047637939453,59.66666666666667
23,0.2857559984380549,0.7738636363636363,5.626666167821521e-05,00:02,0.3520443852742513,59.0
24,0.2865471601486206,0.7579545454545454,5.3139525976465657e-05,00:02,0.3501711273193359,58.666666666666664
25,0.28431821302934124,0.7647727272727273,4.999999999999998e-05,00:02,0.3492889912923177,61.33333333333333
26,0.2816320896148682,0.775,4.6860474023534314e-05,00:02,0.3474750391642253,60.0
27,0.2823535615747625,0.7693181818181818,4.6860474023534314e-05,00:02,0.3462339528401693,61.33333333333333
28,0.27774949073791505,0.7840909090909091,4.6860474023534314e-05,00:02,0.34595558166503904,60.333333333333336
29,0.2729068604382602,0.7772727272727272,4.6860474023534314e-05,00:02,0.3458076858520508,59.66666666666667
30,0.2675650401548906,0.8045454545454546,4.6860474023534314e-05,00:02,0.3364796956380208,65.0
31,0.26590577255595815,0.8079545454545455,4.6860474023534314e-05,00:02,0.3415686289469401,64.33333333333333
32,0.2563007853247903,0.8125,4.6860474023534314e-05,00:02,0.3343027623494466,65.33333333333333
33,0.2504991596395319,0.8261363636363637,4.6860474023534314e-05,00:02,0.33121332168579104,64.33333333333333
34,0.23395399180325596,0.8545454545454545,4.6860474023534314e-05,00:02,0.3333977254231771,64.66666666666666
35,0.22185952013189142,0.8875,4.6860474023534314e-05,00:02,0.3117564646402995,71.0
36,0.21061315753243187,0.8943181818181818,4.6860474023534314e-05,00:02,0.325342591603597,67.33333333333333
37,0.1996692798354409,0.9079545454545455,4.6860474023534314e-05,00:02,0.3142931302388509,68.66666666666667
38,0.18727481148459696,0.9227272727272727,4.6860474023534314e-05,00:02,0.3126146125793457,70.66666666666667
39,0.1835478349165483,0.9181818181818182,4.6860474023534314e-05,00:02,0.3081683985392253,70.33333333333334
40,0.17032955559817228,0.9431818181818182,4.6860474023534314e-05,00:02,0.2995104344685872,71.66666666666667
41,0.16635029207576404,0.9454545454545454,4.6860474023534314e-05,00:02,0.3048567390441895,73.0
42,0.15748502883044155,0.95,4.6860474023534314e-05,00:02,0.30460910161336263,68.66666666666667
43,0.14804250435395674,0.9545454545454546,4.6860474023534314e-05,00:02,0.2919471295674642,74.0
44,0.14050864523107356,0.9738636363636364,4.6860474023534314e-05,00:02,0.28561012903849287,76.66666666666667
45,0.13168778636238793,0.9761363636363637,4.6860474023534314e-05,00:02,0.27817862192789716,77.0
46,0.12979195551438766,0.9738636363636364,4.6860474023534314e-05,00:02,0.28481685638427734,74.33333333333333
47,0.12194486964832653,0.9772727272727273,4.6860474023534314e-05,00:02,0.27150373458862304,77.33333333333333
48,0.11746074069630016,0.9761363636363637,4.6860474023534314e-05,00:02,0.2788230895996094,75.0
49,0.11677378090945158,0.9784090909090909,4.6860474023534314e-05,00:02,0.2849870681762695,75.66666666666667
