epoch,loss_train,accuracy_train,lr,elapsed,loss_valid,accuracy_valid
0,0.31760012019764294,0.6431818181818182,0.01,00:15,0.24825624465942384,76.66666666666667
1,0.21180669394406407,0.8306818181818182,0.01,00:04,0.3037870152791341,62.66666666666667
2,0.19596919905055654,0.8409090909090909,0.01,00:04,0.22324349085489908,80.66666666666666
3,0.1420675429430875,0.9045454545454545,0.01,00:04,0.2154118792215983,82.66666666666667
4,0.13477147709239612,0.9045454545454545,0.01,00:04,0.21540283203125,83.33333333333334
5,0.11499835902994329,0.928409090909091,0.01,00:04,0.19732924143473307,84.33333333333334
6,0.10041411464864558,0.9375,0.01,00:04,0.27394840876261395,74.33333333333333
7,0.11546036492694509,0.9204545454545454,0.01,00:04,0.19538313547770184,84.66666666666667
8,0.09807053533467379,0.9397727272727273,0.01,00:04,0.20120997111002603,84.33333333333334
9,0.08154751333323391,0.95,0.01,00:04,0.2001966412862142,83.66666666666667
10,0.06966600363904779,0.9625,0.01,00:04,0.20686057408650715,82.0
11,0.07380087754943154,0.9545454545454546,0.01,00:04,0.22670045852661133,79.33333333333333
12,0.06681018309159713,0.9602272727272727,0.01,00:04,0.2080997403462728,82.0
13,0.057660906423221935,0.9715909090909091,0.01,00:04,0.20133377075195313,82.33333333333334
14,0.05680583986369046,0.9670454545454545,0.01,00:04,0.2089145596822103,82.66666666666667
15,0.05754326473582875,0.9738636363636364,0.002,00:04,0.20312942504882814,83.66666666666667
16,0.05507047718221491,0.9715909090909091,0.002,00:04,0.20755847295125326,83.33333333333334
17,0.05278292894363403,0.9738636363636364,0.002,00:04,0.21091871897379558,82.33333333333334
18,0.04893449761650779,0.9806818181818182,0.002,00:04,0.20818017959594726,83.0
19,0.04790146892721003,0.9761363636363637,0.002,00:04,0.2074565887451172,82.66666666666667
20,0.049912487105889754,0.9795454545454545,0.002,00:04,0.20788820266723632,82.33333333333334
21,0.04906752976504239,0.975,0.002,00:04,0.20962761561075846,81.66666666666667
22,0.04417940838770433,0.9840909090909091,0.002,00:04,0.21190686543782553,81.33333333333333
23,0.04530709277499806,0.9829545454545454,0.002,00:04,0.21269767761230468,81.33333333333333
24,0.04548803324049169,0.9806818181818182,0.002,00:04,0.21039113998413086,81.33333333333333
25,0.045383754643526945,0.9784090909090909,0.002,00:04,0.21077345848083495,81.66666666666667
26,0.04524502185257998,0.9784090909090909,0.002,00:04,0.2138722610473633,81.0
27,0.04469713135199113,0.9829545454545454,0.002,00:04,0.21040921529134116,82.66666666666667
28,0.04195165905085477,0.9795454545454545,0.002,00:04,0.21049058278401692,82.33333333333334
29,0.04336601522835818,0.9829545454545454,0.002,00:04,0.21159886042277018,81.66666666666667
30,0.040668154033747586,0.9829545454545454,0.0004000000000000001,00:04,0.21209774017333985,81.33333333333333
31,0.03997702354734594,0.9863636363636363,0.0004000000000000001,00:04,0.21214052200317382,81.33333333333333
32,0.040247018906203184,0.9852272727272727,0.0004000000000000001,00:04,0.21196584701538085,81.33333333333333
33,0.04142883338711478,0.9818181818181818,0.0004000000000000001,00:04,0.21141290028889975,81.66666666666667
34,0.04226561730558222,0.9818181818181818,0.0004000000000000001,00:04,0.21145682652791342,81.66666666666667
35,0.04264186133037914,0.975,0.0004000000000000001,00:04,0.2118840980529785,81.66666666666667
36,0.040637834505601364,0.9818181818181818,0.0004000000000000001,00:04,0.21194740295410155,81.0
37,0.040685174681923605,0.9840909090909091,0.0004000000000000001,00:04,0.21187527974446616,80.66666666666666
38,0.042761044068769974,0.9818181818181818,0.0004000000000000001,00:04,0.2119265047709147,81.33333333333333
39,0.04107350273565812,0.9840909090909091,0.0004000000000000001,00:04,0.21217888514200847,81.0
40,0.03957366211847826,0.9852272727272727,8.000000000000002e-05,00:04,0.21200810114542643,81.33333333333333
41,0.04118578948757865,0.9840909090909091,8.000000000000002e-05,00:04,0.21198426564534506,81.33333333333333
42,0.04297318946231495,0.9840909090909091,8.000000000000002e-05,00:04,0.21210089683532715,81.0
43,0.04242817894978957,0.9795454545454545,8.000000000000002e-05,00:04,0.2120738156636556,80.66666666666666
44,0.039679198915308175,0.9806818181818182,8.000000000000002e-05,00:04,0.2120126215616862,80.66666666666666
45,0.04072295806624673,0.9840909090909091,8.000000000000002e-05,00:04,0.21195492426554363,81.0
46,0.03982159888202494,0.9806818181818182,8.000000000000002e-05,00:04,0.2120285924275716,80.66666666666666
47,0.040738400545987215,0.9829545454545454,8.000000000000002e-05,00:04,0.21194374084472656,80.66666666666666
48,0.04185626073317094,0.9806818181818182,8.000000000000002e-05,00:04,0.21188782374064127,80.66666666666666
49,0.04005693359808488,0.9840909090909091,8.000000000000002e-05,00:04,0.2118662198384603,80.66666666666666
