epoch,loss_train,accuracy_train,lr,elapsed,loss_valid,accuracy_valid
0,479.91897194602274,0.0,0.0001,00:52,469.01653645833335,0.6666666666666667
1,467.77742808948864,0.19886363636363635,0.0001,00:11,466.51610677083335,54.333333333333336
2,466.86032936789775,0.5625,0.0001,00:11,465.9850390625,59.0
3,466.5156294389204,0.6215909090909091,0.0001,00:12,465.951640625,68.33333333333333
4,466.39170365767046,0.6409090909090909,0.0001,00:12,465.88537760416665,76.0
5,466.17066761363634,0.6602272727272728,0.0001,00:12,465.70325520833336,77.33333333333333
6,465.99559215198866,0.675,0.0001,00:11,465.6012369791667,73.33333333333333
7,466.13155628551135,0.6772727272727272,0.0001,00:12,465.5134765625,74.0
8,465.8544167258523,0.7102272727272727,0.0001,00:11,465.53584635416667,68.33333333333333
9,465.7761141690341,0.7636363636363637,0.0001,00:12,465.4829817708333,65.33333333333333
10,465.72910600142046,0.7420454545454546,0.0001,00:12,465.4444921875,67.0
11,465.6773259943182,0.7727272727272727,0.0001,00:12,465.5078385416667,63.33333333333333
12,465.63675426136365,0.7977272727272727,0.0001,00:11,465.4272265625,64.0
13,465.60366654829545,0.8147727272727273,0.0001,00:12,465.40515625,65.0
14,465.5679953835227,0.8352272727272727,0.0001,00:12,465.40752604166664,65.33333333333333
15,465.5552956321023,0.8409090909090909,2e-05,00:12,465.34783854166665,72.66666666666667
16,465.5026677911932,0.8511363636363637,2e-05,00:12,465.3273828125,74.0
17,465.4800559303977,0.8727272727272727,2e-05,00:12,465.32109375,75.0
18,465.470556640625,0.8738636363636364,2e-05,00:12,465.316328125,76.0
19,465.4926580255682,0.865909090909091,2e-05,00:12,465.3168489583333,76.0
20,465.4620472301136,0.8715909090909091,2e-05,00:12,465.3159765625,75.33333333333333
21,465.4462180397727,0.8784090909090909,2e-05,00:12,465.3084765625,77.0
22,465.4586026278409,0.8761363636363636,2e-05,00:12,465.3125130208333,74.0
23,465.43277698863636,0.8988636363636363,2e-05,00:12,465.3122786458333,74.33333333333333
24,465.4169833096591,0.9068181818181819,2e-05,00:12,465.31024739583336,74.33333333333333
25,465.4174227627841,0.9011363636363636,2e-05,00:12,465.3122265625,74.0
26,465.4123357599432,0.8977272727272727,2e-05,00:12,465.3105208333333,75.0
27,465.38528497869316,0.9147727272727273,2e-05,00:12,465.3110807291667,73.33333333333333
28,465.39278675426135,0.9181818181818182,2e-05,00:12,465.31125,72.66666666666667
29,465.38307883522725,0.925,2e-05,00:11,465.311328125,71.0
30,465.36592240767044,0.9386363636363636,4.000000000000001e-06,00:12,465.3153255208333,71.33333333333334
31,465.3584783380682,0.9318181818181818,4.000000000000001e-06,00:12,465.3036848958333,71.66666666666667
32,465.3604092684659,0.9306818181818182,4.000000000000001e-06,00:12,465.30016927083335,71.33333333333334
33,465.35600142045456,0.9306818181818182,4.000000000000001e-06,00:12,465.3005078125,71.0
34,465.3539950284091,0.9397727272727273,4.000000000000001e-06,00:12,465.3036328125,72.0
35,465.35611683238636,0.9363636363636364,4.000000000000001e-06,00:12,465.31069010416667,72.0
36,465.38101473721593,0.9386363636363636,4.000000000000001e-06,00:12,465.30541666666664,72.0
37,465.3570090553977,0.9420454545454545,4.000000000000001e-06,00:12,465.3086197916667,71.66666666666667
38,465.3495383522727,0.9477272727272728,4.000000000000001e-06,00:12,465.308046875,70.66666666666667
39,465.332421875,0.9545454545454546,4.000000000000001e-06,00:12,465.3096614583333,71.33333333333334
40,465.3448641690341,0.9568181818181818,8.000000000000002e-07,00:12,465.30647135416666,71.0
41,465.3379660866477,0.9477272727272728,8.000000000000002e-07,00:12,465.3061979166667,70.66666666666667
42,465.3402166193182,0.9545454545454546,8.000000000000002e-07,00:12,465.30494791666666,71.66666666666667
43,465.336865234375,0.9636363636363636,8.000000000000002e-07,00:12,465.3061197916667,72.33333333333334
44,465.337744140625,0.9488636363636364,8.000000000000002e-07,00:12,465.3095833333333,72.33333333333334
45,465.3311612215909,0.9522727272727273,8.000000000000002e-07,00:12,465.3077734375,71.33333333333334
46,465.3273837002841,0.9613636363636363,8.000000000000002e-07,00:12,465.3048958333333,72.0
47,465.32925248579545,0.9647727272727272,8.000000000000002e-07,00:12,465.3006640625,72.0
48,465.32565696022726,0.9602272727272727,8.000000000000002e-07,00:12,465.3008203125,72.33333333333334
49,465.3286709872159,0.9647727272727272,8.000000000000002e-07,00:12,465.3062890625,72.0
